collage_name,city,state,level,colllage_type,basic,student_count,awards_per_100_value,awards_per_state_value,spent_award_value,spent_award_state_value,exp_award_percentile,fulltime_student_per,fulltime_student,med_sat_value,med_sat_percentile,aid_value,aid_percentile,endow_value,endow_percentile,on_time_graduate,on_time_graduate_percentile,late_graduate,late_graduate_percentile,pell_value,pell_percentile,retain_value,retain_percentile,ft_fac_value,ft_fac_percentile,vsa_year,vsa_grad_after4_first,vsa_grad_elsewhere_after4_first,vsa_enroll_after4_first,vsa_enroll_elsewhere_after4_first,vsa_grad_after6_first,vsa_grad_elsewhere_after6_first,vsa_enroll_after6_first,vsa_enroll_elsewhere_after6_first,vsa_grad_after4_transfer,vsa_grad_elsewhere_after4_transfer,vsa_enroll_after4_transfer,vsa_enroll_elsewhere_after4_transfer,vsa_grad_after6_transfer,vsa_grad_elsewhere_after6_transfer,vsa_enroll_after6_transfer,vsa_enroll_elsewhere_after6_transfer,state_sector_ct,percentage
Alabama A&M University,Normal,Alabama,4-year,Public,Masters Colleges and Universities--larger programs,4051,14.2,18.8,105331,75743,90,93.8,3906,823,0,7142,72,,,10,15,29.1,14,71.2,98,63.1,17,82.8,89,2010,14.7,2,36.5,16.1,33,5.3,12.5,14.6,15.7,1.5,40.9,17.2,36.4,5.6,17.2,11.1,13,99.7
University of Alabama at Birmingham,Birmingham,Alabama,4-year,Public,Research Universities--very high research activity,11502,20.9,18.8,136546,75743,97,72.7,10032,1146,84,6088,50,24136,93,29.4,67,53.5,66,35.1,39,80.2,70,92.4,98,2011,22.3,2.9,34.2,19.2,42.6,10.5,7.9,13.1,,,,,,,,,13,56
Amridge University,Montgomery,Alabama,4-year,Private not-for-profit,Baccalaureate Colleges--Arts & Sciences,322,29.9,17.8,58414,92268,30,62.7,294,,,2540,1,302,1,0,0,66.7,72,68.4,91,37.5,2,67.2,71,,,,,,,,,,,,,,,,,,16,100
University of Alabama at Huntsville,Huntsville,Alabama,4-year,Public,Research Universities--very high research activity,5696,20.9,18.8,64418,75743,61,74.4,5000,1180,89,6647,63,11502,81,16.5,34,48.4,54,32.8,32,81,72,65.5,56,2010,12.8,4.7,42.8,18.3,43,14.5,10.2,11.7,0,0,0,0,0,0,0,0,13,43.1
Alabama State University,Montgomery,Alabama,4-year,Public,Masters Colleges and Universities--larger programs,5356,11.6,18.8,132407,75743,96,91,5035,830,1,7256,74,13202,84,8.8,11,25.2,9,82.7,100,62.2,15,67,58,,,,,,,,,,,,,,,,,,13,88
University of Alabama at Tuscaloosa,Tuscaloosa,Alabama,4-year,Public,Research Universities--high research activity,29440,18.3,18.8,75350,75743,75,90.2,27148,1171,88,10390,94,19469,90,42.7,86,66.7,85,21.1,7,87,87,69.5,64,2008,4.1,1.3,67.8,13.2,60.6,8,9.9,8,45.8,5.2,23,7.9,61.5,8.5,6.3,5.5,13,75.9
Central Alabama Community College,Alexander City,Alabama,2-year,Public,Associates--Public Rural-serving Medium,1906,15.9,15.9,57572,42194,83,50,1489,,,5057,82,229,22,7.7,39,9.1,8,65.1,93,42.7,5,38.3,66,,,,,,,,,,,,,,,,,,25,66.7
Auburn University at Montgomery,Montgomery,Alabama,4-year,Public,Masters Colleges and Universities--larger programs,4322,15.4,18.8,58541,75743,51,69.4,3571,970,26,4327,10,10736,79,9.9,15,27.1,12,40.1,56,63.2,17,60.1,44,,,,,,,,,,,,,,,,,,13,43.8
Auburn University,Auburn University,Alabama,4-year,Public,Research Universities--high research activity,19799,21.5,18.8,71999,75743,71,91,19635,1215,93,8875,88,22092,92,37.6,80,67.9,87,16.9,3,89.5,92,88.7,96,2010,35.5,3.1,39.7,12.1,66.4,9.6,5,7.6,64.2,6.3,11.6,7.6,72.2,9.7,2,4.6,13,75.5
Birmingham-Southern College,Birmingham,Alabama,4-year,Private not-for-profit,Baccalaureate Colleges--Arts & Sciences,1188,23.5,17.8,113677,92268,75,98.2,1331,1177,81,20385,80,37598,70,53.2,67,61.9,64,21.4,16,80.4,65,71.7,76,,,,,,,,,,,,,,,,,,16,88.9
